
STATUS | wrapper  | 2016/03/30 22:58:55 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/03/30 22:58:55 | Java Service Wrapper Standard Edition 64-bit 3.5.29
STATUS | wrapper  | 2016/03/30 22:58:55 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/03/30 22:58:55 |     http://wrapper.tanukisoftware.com
NOTICE | wrapper  | 2016/03/30 22:58:55 | 
NOTICE | wrapper  | 2016/03/30 22:58:55 | --------------------------------------------------------------------
NOTICE | wrapper  | 2016/03/30 22:58:55 | Thank you for your interest in the Java Service Wrapper.
NOTICE | wrapper  | 2016/03/30 22:58:55 | 
NOTICE | wrapper  | 2016/03/30 22:58:55 | You are running with a full featured trial License Key which will
NOTICE | wrapper  | 2016/03/30 22:58:55 | allow you to run or restart the Java Service Wrapper as many times
NOTICE | wrapper  | 2016/03/30 22:58:55 | as you like.  Each invocation of the Wrapper will shutdown
NOTICE | wrapper  | 2016/03/30 22:58:55 | automatically after 15 minutes.
NOTICE | wrapper  | 2016/03/30 22:58:55 | 
NOTICE | wrapper  | 2016/03/30 22:58:55 | This limited trial License Key is useful for quick configuration
NOTICE | wrapper  | 2016/03/30 22:58:55 | tests on various machines without the need to request a trial
NOTICE | wrapper  | 2016/03/30 22:58:55 | license.  If more time is required, you can also immediately obtain
NOTICE | wrapper  | 2016/03/30 22:58:55 | a one-month Free trial license:
NOTICE | wrapper  | 2016/03/30 22:58:55 |   http://wrapper.tanukisoftware.com/trial
NOTICE | wrapper  | 2016/03/30 22:58:55 | 
NOTICE | wrapper  | 2016/03/30 22:58:55 | The Java Service Wrapper requires a License Key to activate the
NOTICE | wrapper  | 2016/03/30 22:58:55 | software.  License Keys can be purchased on the Java Service Wrapper
NOTICE | wrapper  | 2016/03/30 22:58:55 | web site:
NOTICE | wrapper  | 2016/03/30 22:58:55 |   http://wrapper.tanukisoftware.com/purchase
NOTICE | wrapper  | 2016/03/30 22:58:55 | 
NOTICE | wrapper  | 2016/03/30 22:58:55 | This trial License Key in intended for testing and development and
NOTICE | wrapper  | 2016/03/30 22:58:55 | should not be used as part of a production environment.
NOTICE | wrapper  | 2016/03/30 22:58:55 | --------------------------------------------------------------------
NOTICE | wrapper  | 2016/03/30 22:58:55 | 
STATUS | wrapper  | 2016/03/30 22:58:55 | 
STATUS | wrapper  | 2016/03/30 22:58:56 | Launching a JVM...
INFO   | jvm 1    | 2016/03/30 22:58:56 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/03/30 22:58:56 | TestWrapper: Initializing...
INFO   | jvm 1    | 2016/03/30 22:58:56 | TestWrapper: start()
INFO   | jvm 1    | 2016/03/30 22:58:56 | TestWrapper: An action was not specified.  Default to "dialog".  Use "help" for list of actions.
INFO   | jvm 1    | 2016/03/30 22:58:56 | TestWrapper: ActionServer Enabled. 
INFO   | jvm 1    | 2016/03/30 22:58:56 | TestWrapper:   Telnet localhost 9999
INFO   | jvm 1    | 2016/03/30 22:58:56 | TestWrapper:   Commands: 
INFO   | jvm 1    | 2016/03/30 22:58:56 | TestWrapper:     S: Shutdown
INFO   | jvm 1    | 2016/03/30 22:58:56 | TestWrapper:     H: Expected Halt
INFO   | jvm 1    | 2016/03/30 22:58:56 | TestWrapper:     R: Restart
INFO   | jvm 1    | 2016/03/30 22:58:56 | TestWrapper:     D: Thread Dump
INFO   | jvm 1    | 2016/03/30 22:58:56 | TestWrapper:     U: Unexpected Halt (Simulate crash)
